seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
NODE_36_length_20772_cov_46.719932	20772	No terminal repeats	NA	29	11	0.9950	0.0028	4	25.5561	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_10_length_151234_cov_39.941750|provirus_2_57511	57510	Provirus	2-57511	76	11	0.9943	0.0030	13	67.5474	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_35_length_23336_cov_76.395105	23336	No terminal repeats	NA	17	11	0.9931	0.0033	2	11.3931	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_96_length_1134_cov_2.031778	1134	No terminal repeats	NA	3	11	0.9929	0.0035	1	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_42_length_11180_cov_38.240387	11180	No terminal repeats	NA	15	11	0.9929	0.0038	0	9.9048	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_51_length_4626_cov_2.461214	4626	No terminal repeats	NA	11	11	0.9910	0.0041	1	6.4209	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_77_length_1931_cov_1.778271	1931	No terminal repeats	NA	3	11	0.9890	0.0045	1	2.6116	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_39_length_15843_cov_37.499555|provirus_2_7975	7974	Provirus	2-7975	18	11	0.9883	0.0048	0	14.9292	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_162_length_598_cov_1.772824	598	No terminal repeats	NA	1	11	0.9878	0.0052	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_8_length_165946_cov_39.995634|provirus_3_12937	12935	Provirus	3-12937	19	11	0.9873	0.0056	0	5.3076	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_26_length_57635_cov_37.864245|provirus_3_18327	18325	Provirus	3-18327	14	11	0.9837	0.0061	4	8.8903	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_44_length_9116_cov_31.425298	9116	No terminal repeats	NA	10	11	0.9822	0.0066	2	6.1557	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_46_length_8056_cov_68.676378	8056	No terminal repeats	NA	9	11	0.9769	0.0073	1	5.0957	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_48_length_7907_cov_36.509254	7907	No terminal repeats	NA	9	11	0.9752	0.0080	0	3.4819	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_78_length_1878_cov_2.154198	1878	No terminal repeats	NA	4	11	0.9748	0.0086	4	6.0788	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_182_length_504_cov_1.615385	504	No terminal repeats	NA	1	11	0.9745	0.0093	1	1.2488	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_72_length_2246_cov_3.013214	2246	No terminal repeats	NA	4	11	0.9745	0.0098	2	6.8720	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_122_length_881_cov_1.506631	881	No terminal repeats	NA	1	11	0.9738	0.0104	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_53_length_4294_cov_57.496040	4294	No terminal repeats	NA	7	11	0.9509	0.0117	0	4.9595	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_60_length_3121_cov_1.650301	3121	No terminal repeats	NA	5	11	0.9330	0.0135	0	2.5857	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_28_length_47439_cov_41.006616|provirus_36881_47438	10558	Provirus	36881-47438	21	11	0.9327	0.0152	0	16.1026	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_108_length_981_cov_1.844262	981	No terminal repeats	NA	2	11	0.9322	0.0167	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_157_length_614_cov_3.193018	614	No terminal repeats	NA	2	11	0.9262	0.0184	1	1.6214	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_99_length_1101_cov_2.685832	1101	No terminal repeats	NA	1	15	0.8920	0.0210	1	1.2094	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_178_length_515_cov_1.466495	515	No terminal repeats	NA	2	11	0.8402	0.0248	1	1.7150	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_111_length_959_cov_2.692308	959	No terminal repeats	NA	2	11	0.8075	0.0294	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_201_length_439_cov_1.660256	439	No terminal repeats	NA	1	15	0.7104	0.0362	1	1.5239	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
