qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
r3-T7_NZ_CP077233.1_FDAARGOS_1397_plasmid_unnamed1_A_pittii,NODE_74_length_4358_cov_14.891515,99.147,1173,10,0,1,1173,2900,4072,0.0,2111
r3-T7_CP038263.1_pEC_gr13_c5,NODE_74_length_4358_cov_14.891515,99.659,1173,4,0,1,1173,2900,4072,0.0,2145
r3-T7_NZ_CM012183.1_p1ZQ9_A_bereziniae,NODE_74_length_4358_cov_14.891515,98.039,1173,23,0,1,1173,2900,4072,0.0,2039
r3-T7_NZ_CP010358.1_pXBB1-8_A_johnsonii,NODE_74_length_4358_cov_14.891515,98.210,1173,21,0,1,1173,2900,4072,0.0,2050
r3-T7_NZ_CP022299.1_pIC001A_A_johnsonii,NODE_74_length_4358_cov_14.891515,98.551,1173,17,0,1,1173,2900,4072,0.0,2073
r3-T7_NZ_CP089053.1_pRIVM_C010559_2_A_ursingii,NODE_74_length_4358_cov_14.891515,98.551,1173,17,0,1,1173,2900,4072,0.0,2073
r3-T7_NZ_CP038025.1_pAR3_A_radioresistens,NODE_74_length_4358_cov_14.891515,98.721,1173,15,0,1,1173,2900,4072,0.0,2084
r3-T7_NZ_CP079794.1_pAJ_082-3_A_johnsonii,NODE_74_length_4358_cov_14.891515,97.016,1173,35,0,1,1173,2900,4072,0.0,1973
r3-T7_NZ_CP068175.1_FDAARGOS_1096_plasmid_unnamed1_A_ursingii,NODE_74_length_4358_cov_14.891515,98.636,1173,16,0,1,1173,2900,4072,0.0,2078
r3-T7_NZ_CP069498.1_FDAARGOS_1217_plasmid_unnamed2_A_pittii,NODE_74_length_4358_cov_14.891515,99.403,1173,7,0,1,1173,2900,4072,0.0,2128
r3-T7_CP033769.1_p2FDAARGOS_533_c4,NODE_74_length_4358_cov_14.891515,99.915,1173,1,0,1,1173,2900,4072,0.0,2161
r3-T7_CP041149.1_pCUVET596_c6,NODE_74_length_4358_cov_14.891515,98.380,1173,19,0,1,1173,2900,4072,0.0,2061
r3-T7_CP044357.1_pCAM180A_c7,NODE_74_length_4358_cov_14.891515,99.488,1173,6,0,1,1173,2900,4072,0.0,2134
r3-T15_CM009646.1_p3ZQ10_c70,NODE_84_length_2405_cov_4594.556629,100.000,933,0,0,1,933,361,1293,0.0,1724
r3-T15_NZ_AP019746.1_pARA6_A_radioresistens,NODE_84_length_2405_cov_4594.556629,99.610,769,3,0,1,769,361,1129,0.0,1404
r3-T15_CP084299.1_LHC22-2,NODE_84_length_2405_cov_4594.556629,98.049,769,15,0,1,769,361,1129,0.0,1338
r3-T15_NZ_CP031714.1_p6_010060_A_wuhouensis,NODE_84_length_2405_cov_4594.556629,99.480,769,4,0,1,769,361,1129,0.0,1399
r3-T15_NZ_CP032123.1_pALWED2.8_A_lwoffii,NODE_84_length_2405_cov_4594.556629,98.175,767,14,0,1,767,361,1127,0.0,1339
r3-T15_NZ_MK944322.1_pAVAci176_A_lwoffii,NODE_84_length_2405_cov_4594.556629,99.610,769,3,0,1,769,361,1129,0.0,1404
r3-T15_CP061712_p2E072658,NODE_84_length_2405_cov_4594.556629,99.480,769,4,0,1,769,361,1129,0.0,1399
r3-T27_NZ_LQXZ01000009.1_MEX11594_plasmid_unnamed_A_baumannii,NODE_59_length_13253_cov_22.764513,98.408,942,12,1,1,942,2388,1450,0.0,1653
r3-T27_NZ_CP103340.1_AB105_plasmid_unnamed3_A_baumannii,NODE_59_length_13253_cov_22.764513,98.403,939,15,0,1,939,2388,1450,0.0,1652
r3-T27_CP034094.1_pA52-2_c60,NODE_59_length_13253_cov_22.764513,99.894,939,1,0,1,939,2388,1450,0.0,1729
r3-T27_CP051864.1_pAb-C102_2_c61,NODE_59_length_13253_cov_22.764513,100.000,939,0,0,1,939,2388,1450,0.0,1735
r3-T53_CP030107.1_pDA33382-2-2_c59,NODE_84_length_2405_cov_4594.556629,97.297,222,6,0,721,942,1072,1293,6.36e-105,377
r3-T94_NZ_CP019145.1_pZS-3_A_lwoffii,NODE_62_length_9728_cov_387.464222,99.099,999,9,0,1,999,1833,835,0.0,1796
r3-T94_NZ_CP032105.2_pALWEK1.2_A_lwoffii,NODE_62_length_9728_cov_387.464222,99.299,999,7,0,1,999,1833,835,0.0,1807
